version,"2022-01-1","2022-07-01","2023-01-01","2023-07-01","2024-01-01","2024-07-01","2025-01-01","2025-07-01"
8.4,0,0,0,0,0,0,0,0
8.3,0,0,0,0,0,0,4,26
8.2,0,0,0,94,135,153,171,187
8.1,0,125,125,107,154,184,194,234
8.0,160,94,94,144,126,123,128,106
7.4,69,86,86,97,87,80,81,95
7.3,116,104,104,56,49,42,45,59
7.2,133,130,130,133,123,118,123,87
7.1,190,153,153,125,100,93,101,71
7.0,29,29,29,24,24,24,25,27
5.6,49,42,42,32,30,29,31,18
5.5,42,35,35,21,16,15,15,7
5.4,43,40,40,31,28,26,26,39
5.3,83,77,77,65,58,50,52,28
5.2,10,10,10,7,7,5,5,0
